level_0,index,Address,Area,Broker,Broker_Company,Distance,New,Price,Price/m2,Rooms,Title,url,lon,lat,Street,StreetNumber,Neigh,City,Construction_Year,Type,Zip_Region,bathroom,Modernization,Precision
191,18,"Osloer Str. 110, Gesundbrunnen, Berlin",42.91,Herr Thomas Röder,ACCENTRO GmbH,1.92,0.0,169.5,3.95,1 ,Werden Sie Vermieter in gefragter Lage in Berlin Mitte,https://www.immobilienscout24.de/expose/112553652,13.3847593,52.5555329,Osloer Str.,110, Gesundbrunnen, Berlin,1900.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
189,172,"Prenzlauer Berg, Berlin",82.0,Herr Andreas Wittig,KENSINGTON Finest Properties International - Berlin Nord,1.92,0.0,635.0,7.744,3 ,Herr Andreas WittigKENSINGTON Finest Properties International - Berlin Nord,https://www.immobilienscout24.de/expose/123038206,13.413502,52.5497104,,,Prenzlauer Berg, Berlin,1911.0, Etagenwohnung ,"10439 Berlin / Prenzlauer Berg, Berlin",1.0,,0.0
188,39,"Osloer Str. 110, Gesundbrunnen, Berlin",49.31,Herr Thomas Röder,ACCENTRO GmbH,1.92,0.0,199.9,4.0539999999999985,1 ,Altbauperle als Kapitalanlage - Ihre vermietete Eigentumswohnung in Berlin-Wedding!,https://www.immobilienscout24.de/expose/112553643,13.3847593,52.5555329,Osloer Str.,110, Gesundbrunnen, Berlin,1900.0, Erdgeschosswohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
192,63,"Buchholzer Str. 80, Niederschönhausen, Berlin",57.43,Frau Regine Thorn,Thorn Immobilien,1.92,0.0,245.0,4.266,2 ,Sonnige 2 Zimmer Altbauwohnung ,https://www.immobilienscout24.de/expose/121272560,13.4102919,52.5861213,Buchholzer Str.,80, Niederschönhausen, Berlin,1900.0, Etagenwohnung ,"13156 Berlin, Niederschönhausen",1.0, zuletzt 1998 ,1.0
202,34,"Reinickendorf (Ortsteil), Berlin",64.8,Ihr Best Place Vertriebsteam,Best Place Immobilien GmbH & Co. KG,1.93,0.0,195.0,3.009,2 ,Provisionsfreie vermietete Kapitalanlage im grünen Reinickendorf,https://www.immobilienscout24.de/expose/111659577,13.3455963,52.5711856,,,Reinickendorf (Ortsteil), Berlin,1967.0, Etagenwohnung ,"13409 Berlin, Reinickendorf (Ortsteil)",,,0.0
198,101,"Prenzlauer Berg, Berlin",28.0,Ansp. Frau Grande,Muzi-Berlin Immobilien & Finanzdienst e.K. -seit 1992-IVD-Mitglied,1.93,0.0,325.0,11.607,1 ,- Prenzlauer Berg/ Renditestarkes App. mit Luxusausstattung -,https://www.immobilienscout24.de/expose/111378655,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,2010.0, Erdgeschosswohnung ,"10439 Berlin, Prenzlauer Berg",,,0.0
199,76,"Reinickendorf (Ortsteil), Berlin",68.0,Ihr Best Place Vertriebsteam,Best Place Immobilien GmbH & Co. KG,1.93,0.0,269.0,3.956,2 ,Clever und provisionsfrei investieren: 2-Zimmer-Wohnung,https://www.immobilienscout24.de/expose/110444512,13.3455963,52.5711856,,,Reinickendorf (Ortsteil), Berlin,1967.0, Etagenwohnung ,"13409 Berlin, Reinickendorf (Ortsteil)",,,0.0
200,42,"Reinickendorf (Ortsteil), Berlin",64.8,Ihr Best Place Vertriebsteam,Best Place Immobilien GmbH & Co. KG,1.93,0.0,205.0,3.164,2 ,Ihr Best Place VertriebsteamBest Place Immobilien GmbH & Co. KG,https://www.immobilienscout24.de/expose/111659574,13.3455963,52.5711856,,,Reinickendorf (Ortsteil), Berlin,1967.0, Etagenwohnung ,"13409 Berlin, Reinickendorf (Ortsteil)",,,0.0
201,129,"Buchholzer Strasse 14, Niederschönhausen, Berlin",60.0,Frau Sainab Fuhr,Home Estate 360 GmbH,1.93,0.0,399.0,6.65,3 ,Meine neue Wohnung hat Balkon und Fußbodenheizung! PROVISIONSFREI,https://www.immobilienscout24.de/expose/121592278,13.4140403,52.5450969,Buchholzer Strasse,14, Niederschönhausen, Berlin,1905.0, Etagenwohnung ,"13156 Berlin, Niederschönhausen",1.0,,1.0
205,20,"Niederschönhausen, Berlin",61.0,Engel & Völkers Berlin Prenzlauer Berg,Engel & Völkers Berlin Mitte GmbH,1.96,0.0,170.0,2.787,2 ,Attraktive Kapitalanlage in idyllischer Umgebung!,https://www.immobilienscout24.de/expose/113621125,13.401397,52.5858062,,,Niederschönhausen, Berlin,1995.0, Erdgeschosswohnung ,"13156 Berlin, Niederschönhausen",1.0,,0.0
206,84,"Prenzlauer Berg, Berlin",71.35,Frau Susanne Bartelt,Bartelt-Immobilien & Beratung,1.96,0.0,285.0,3.994,2 ,Traumhafte mit Sonne durchflutete Zwei-Zimmer- Wohnung im Prenzlauer Berg in der Isländischen Straße,https://www.immobilienscout24.de/expose/111841990,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,1910.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",1.0, zuletzt 1999 ,0.0
203,187,"Pankow (Ortsteil), Berlin",93.0,Herr Marc Arnold,Tolle Immobilien GmbH,1.96,0.0,684.0,7.355,3 ,"Attic apartment with 3 rooms, open plan kitchen and amazing rooftop patio. Near Prenzlauer Berg!",https://www.immobilienscout24.de/expose/112969379,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,1919.0, Dachgeschoss ,"13189 Berlin, Pankow (Ortsteil)",2.0,,0.0
204,1,"Drontheimer Straße 25, Gesundbrunnen, Berlin",31.82,ImmoClub Berlin GmbH & Co. KG,ImmoClub Berlin GmbH & Co. KG,1.96,1.0,105.0,3.3,1 ,NEUVermietete 1-Zi. Wohnung mit Balkon in schönem Altbau in Wedding - 3% Nettorendite oder Eigenbedarf,https://www.immobilienscout24.de/expose/123366269,13.3767098,52.5597046,Drontheimer Straße,25, Gesundbrunnen, Berlin,1900.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",, zuletzt 2008 ,1.0
207,62,"Isländische Straße 7, Prenzlauer Berg, Berlin",54.87,Wolfram Kohly.,Vonovia SE-Selbstständiger Vertriebspartner,1.98,1.0,245.0,4.465,3 ,NEUKapitalanlage im 'Skandinavischen Viertel',https://www.immobilienscout24.de/expose/123111761,13.4007624,52.5520701,Isländische Straße,7, Prenzlauer Berg, Berlin,1900.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",,,1.0
215,104,"Schönfließer Str. 5, Prenzlauer Berg, Berlin",56.41,Herr Fabian Fracchetta,Bärlin Housing GmbH,1.99,0.0,339.147,6.0120000000000005,2 ,DE/EN: eine ganz wunderbare Wohnung ! Provisionsfrei,https://www.immobilienscout24.de/expose/114048519,13.4086894,52.5530061,Schönfließer Str.,5, Prenzlauer Berg, Berlin,1905.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",1.0,,1.0
